SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
,,,,,,,,,,
AR-SLu,San Luis,"Tier1,",Tier1: 2009,Tier1: 2011,-33.4648,-66.4598,,MF,,400
,,Tier2,Tier2: 2009,Tier2: 2011,,,,,,
AR-Vir,Virasoro,"Tier1,",Tier1: 2009,Tier1: 2012,-28.2395,-56.1886,,ENF,,
,,Tier2,Tier2: 2009,Tier2: 2012,,,,,,
AT-Neu,Neustift,"Tier1,",Tier1: 2002,Tier1: 2012,47.1167,11.3175,970,GRA,6.3,852
,,Tier2,Tier2: 2002,Tier2: 2012,,,,,,
AU-Ade,Adelaide River,"Tier1,",Tier1: 2007,Tier1: 2009,-13.0769,131.1178,,WSA,,
,,Tier2,Tier2: 2007,Tier2: 2009,,,,,,
AU-ASM,Alice Springs,"Tier1,",Tier1: 2010,Tier1: 2013,-22.283,133.249,,ENF,,
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
AU-Cpr,Calperum,"Tier1,",Tier1: 2010,Tier1: 2014,-34.0021,140.5891,,SAV,,
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
AU-Cum,Cumberland Plain,"Tier1,",Tier1: 2012,Tier1: 2014,-33.6152,150.7236,,EBF,,
,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
AU-DaP,Daly River Savanna,"Tier1,",Tier1: 2007,Tier1: 2013,-14.0633,131.3181,,GRA,,
,,Tier2,Tier2: 2007,Tier2: 2013,,,,,,
AU-DaS,Daly River Cleared,"Tier1,",Tier1: 2008,Tier1: 2014,-14.1593,131.3881,,SAV,,
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
AU-Dry,Dry River,"Tier1,",Tier1: 2008,Tier1: 2014,-15.2588,132.3706,,SAV,,
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
AU-Emr,Emerald,"Tier1,",Tier1: 2011,Tier1: 2013,-23.8587,148.4746,,GRA,,
,,Tier2,Tier2: 2011,Tier2: 2013,,,,,,
AU-Fog,Fogg Dam,"Tier1,",Tier1: 2006,Tier1: 2008,-12.5452,131.3072,,WET,,
,,Tier2,Tier2: 2006,Tier2: 2008,,,,,,
AU-Gin,Gingin,"Tier1,",Tier1: 2011,Tier1: 2014,-31.3764,115.7138,,WSA,,
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
AU-GWW,"Great Western Woodlands, Western Australia, Australia","Tier1,",Tier1: 2013,Tier1: 2014,-30.1913,120.6541,,SAV,,
,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
AU-How,Howard Springs,"Tier1,",Tier1: 2001,Tier1: 2014,-12.4943,131.1523,,WSA,,
,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
AU-Lox,Loxton,"Tier1,",Tier1: 2008,Tier1: 2009,-34.4704,140.6551,,DBF,,
,,Tier2,Tier2: 2008,Tier2: 2009,,,,,,
AU-RDF,"Red Dirt Melon Farm, Northern Territory","Tier1,",Tier1: 2011,Tier1: 2013,-14.5636,132.4776,,WSA,,
,,Tier2,Tier2: 2011,Tier2: 2013,,,,,,
AU-Rig,Riggs Creek,"Tier1,",Tier1: 2011,Tier1: 2014,-36.6499,145.5759,,GRA,,
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
AU-Rob,"Robson Creek, Queensland, Australia","Tier1,",Tier1: 2014,Tier1: 2014,-17.1175,145.6301,,EBF,,
,,Tier2,Tier2: 2014,Tier2: 2014,,,,,,
AU-Stp,Sturt Plains,"Tier1,",Tier1: 2008,Tier1: 2014,-17.1507,133.3502,,GRA,,
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
AU-TTE,Ti Tree East,"Tier1,",Tier1: 2012,Tier1: 2013,-22.287,133.64,,OSH,,
,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
AU-Tum,Tumbarumba,"Tier1,",Tier1: 2001,Tier1: 2014,-35.6566,148.1517,1200,EBF,,
,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
AU-Wac,Wallaby Creek,"Tier1,",Tier1: 2005,Tier1: 2008,-37.4259,145.1878,,EBF,,
,,Tier2,Tier2: 2005,Tier2: 2008,,,,,,
AU-Whr,Whroo,"Tier1,",Tier1: 2011,Tier1: 2014,-36.6732,145.0294,,EBF,,
,,Tier2,Tier2: 2011,Tier2: 2014,,,,,,
AU-Wom,Wombat,"Tier1,",Tier1: 2010,Tier1: 2012,-37.4222,144.0944,705,EBF,,
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
AU-Ync,Jaxa,"Tier1,",Tier1: 2012,Tier1: 2014,-34.9893,146.2907,,GRA,,
,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
BE-Bra,Brasschaat,"Tier1,",Tier1: 1996,Tier1: 2014,51.3076,4.5198,16,MF,9.8,750
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
BE-Lon,Lonzee,"Tier1,",Tier1: 2004,Tier1: 2014,50.5516,4.7461,167,CRO,10,800
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
BE-Vie,Vielsalm,"Tier1,",Tier1: 1996,Tier1: 2014,50.305,5.9981,493,MF,7.8,1062
,,Tier2,Tier2: 1996,Tier2: 2014,,,,,,
BR-Sa1,Santarem-Km67-Primary Forest,Tier2,Tier2: 2002,Tier2: 2011,-2.8567,-54.9589,88,EBF,26.13,2075
BR-Sa3,Santarem-Km83-Logged Forest,"Tier1,",Tier1: 2000,Tier1: 2004,-3.018,-54.9714,100,EBF,26.12,2044
